Product_issue_count,TRANS.STATE,TRANS.Product
2598,OH,Debt collection
2588,NJ,Debt collection
2578,IL,Debt collection
2348,VA,Debt collection
1931,MD,Debt collection
1835,MI,Debt collection
1703,AZ,Debt collection
1692,NC,Debt collection
1676,WA,Debt collection
1423,TN,Debt collection
1318,CO,Debt collection
1239,MO,Debt collection
1203,SC,Debt collection
1075,MA,Debt collection
1029,IN,Debt collection
1013,OR,Debt collection
980,AL,Debt collection
975,NV,Debt collection
952,LA,Debt collection
918,WI,Debt collection
798,MN,Debt collection
732,OK,Debt collection
699,KY,Debt collection
695,CT,Debt collection
501,KS,Debt collection
491,UT,Debt collection
446,NM,Debt collection
425,MS,Debt collection
421,IA,Debt collection
415,DE,Debt collection
373,DC,Debt collection
361,AR,Debt collection
317,ID,Debt collection
307,NE,Debt collection
267,HI,Debt collection
251,ME,Debt collection
245,RI,Debt collection
243,NH,Debt collection
217,WV,Debt collection
167,MT,Debt collection
151,SD,Debt collection
104,AK,Debt collection
101,VT,Debt collection
97,WY,Debt collection
92,ND,Debt collection
6,MH,Debt collection
5,GU,Debt collection
4,FM,Debt collection
3,VI,Debt collection
2,AP,Debt collection
2,AS,Debt collection
2,PR,Debt collection
381,CA,Money transfers
229,NY,Money transfers
223,FL,Money transfers
221,TX,Money transfers
113,GA,Money transfers
105,NJ,Money transfers
102,PA,Money transfers
100,VA,Money transfers
99,IL,Money transfers
88,MA,Money transfers
88,MD,Money transfers
87,OH,Money transfers
72,NC,Money transfers
64,MI,Money transfers
62,WA,Money transfers
55,AZ,Money transfers
45,MN,Money transfers
39,WI,Money transfers
37,MO,Money transfers
34,IN,Money transfers
32,SC,Money transfers
31,TN,Money transfers
30,CO,Money transfers
29,NV,Money transfers
28,LA,Money transfers
23,CT,Money transfers
23,OK,Money transfers
22,AL,Money transfers
22,OR,Money transfers
20,DC,Money transfers
20,NM,Money transfers
15,AR,Money transfers
14,MS,Money transfers
13,ID,Money transfers
13,KY,Money transfers
12,KS,Money transfers
11,NE,Money transfers
10,DE,Money transfers
10,WV,Money transfers
9,RI,Money transfers
8,IA,Money transfers
7,NH,Money transfers
7,UT,Money transfers
6,HI,Money transfers
6,VT,Money transfers
5,AK,Money transfers
4,MT,Money transfers
3,ME,Money transfers
3,SD,Money transfers
2,ND,Money transfers
1,AS,Money transfers
1,VI,Money transfers
1,WY,Money transfers
28096,CA,Mortgage
17744,FL,Mortgage
10066,NY,Mortgage
8157,GA,Mortgage
7401,NJ,Mortgage
7368,TX,Mortgage
6193,MD,Mortgage
5319,IL,Mortgage
5196,MI,Mortgage
5189,PA,Mortgage
4912,VA,Mortgage
4650,NC,Mortgage
4578,OH,Mortgage
3676,AZ,Mortgage
3595,WA,Mortgage
3192,MA,Mortgage
2769,CO,Mortgage
2048,MO,Mortgage
2043,MN,Mortgage
1961,CT,Mortgage
1951,OR,Mortgage
1936,TN,Mortgage
1746,NV,Mortgage
1704,WI,Mortgage
1661,SC,Mortgage
1439,IN,Mortgage
1203,LA,Mortgage
1184,NH,Mortgage
1160,AL,Mortgage
891,KY,Mortgage
844,UT,Mortgage
777,DE,Mortgage
748,DC,Mortgage
741,OK,Mortgage
620,HI,Mortgage
585,NM,Mortgage
576,KS,Mortgage
541,MS,Mortgage
531,ME,Mortgage
526,AR,Mortgage
488,RI,Mortgage
472,ID,Mortgage
446,IA,Mortgage
405,NE,Mortgage
298,WV,Mortgage
268,VT,Mortgage
196,MT,Mortgage
141,SD,Mortgage
124,WY,Mortgage
120,AK,Mortgage
77,ND,Mortgage
11,VI,Mortgage
10,FM,Mortgage
9,MH,Mortgage
8,PR,Mortgage
5,GU,Mortgage
3,PW,Mortgage
2,AS,Mortgage
2,MP,Mortgage
